Model,MAE,RMSE,MAPE,WAPE,R²,Mon_MAE,Mon_WAPE,Mon_R²,Task
Random Forest,696.2932192119198,1307.9529617073717,331.5249149327543,77.49092273345359,0.24542095019627663,10808.972381041569,17.690257758905787,0.7492852822303795,Sales Forecasting
XGBoost (global),697.5920071086733,1318.2136966604899,290.32118636102797,77.63546567854844,0.23353534651943209,9117.737762760416,14.922337250509107,0.8055906535016677,Sales Forecasting
Ridge,762.3358052542383,1320.7737534776593,574.5180888451271,84.84084485091307,0.23055540719764833,13333.135338384624,21.821371408451228,0.5839406491308992,Sales Forecasting
Per-Category XGB,777.4456547280065,1469.0798955825048,292.9365766948225,86.52242977200582,0.04805617095671111,8487.20569760917,13.890391348108173,0.8571602240188674,Sales Forecasting
Per-Cat XGB + HW rec.,785.5831703510526,1465.0192945922856,304.47401685480713,87.42805914909707,0.05331132680047668,7814.317948730441,12.789124983383912,0.8740781679526597,Sales Forecasting
Rolling Mean 3M,806.4410926470588,1519.3137094560234,293.58878113362454,89.74935081247065,-0.01815853312631366,18787.398449999997,30.7479665488553,0.0454167078840757,Sales Forecasting
Naive Lag12,846.1685889705882,1754.9668208460048,285.32894970398456,94.17064957434071,-0.35849583845854704,15467.892516666665,25.315172984142244,0.4573665414417306,Sales Forecasting
Global Mean,880.9867204542725,1524.2337418862387,926.2325071076143,98.04558194777265,-0.02476346792179207,21929.049719444443,35.88967834030594,-0.3908070083180506,Sales Forecasting
Holt-Winters (disagg.),947.6580510015783,1927.3358375500045,370.2725327513568,105.46547744786857,-0.6384578966532992,11451.547796482928,18.74191413547599,0.7632415342174246,Sales Forecasting
